"id","type","boatClass","make","model","year","condition","length_ft","beam_ft","dryWeight_lb","hullMaterial","fuelType","numEngines","totalHP","maxEngineYear","minEngineYear","engineCategory","price","sellerId","city","state","zip","created_date","created_month","created_year"
6880348,"power","power-bass","Nitro","Z18",2019,"new",18.67,7.83,1700,"fiberglass","gasoline",1,150,NA,NA,"outboard",33850,1250,"Olathe","KS","66061","2018-10-18",10,2018
7227592,"power","power-cuddy","Sea Sprite","225 Cabin Boat Fiberglass",1994,"used",21,NA,NA,"other","other",1,0,NA,NA,"",999,36340,"Philadelphia","PA",NA,"2019-09-23",9,2019
6908066,"power","power-bass","Nitro","Z18",2019,"new",18.67,7.83,1700,"fiberglass","gasoline",1,150,NA,NA,"outboard",32980,10176,"Lakeville","MA","02347","2018-11-12",11,2018
6823219,"power","power-center","Mako","414 CC",2019,"new",41,11.92,16840,"fiberglass","gasoline",4,1400,2019,2019,"outboard",513245,1176,"Hampton","VA","23666","2018-08-28",8,2018
7248686,"power","power-expresscruiser","Sea Ray","500 Sundancer",1998,"used",55,15,NA,"fiberglass","diesel",2,0,NA,NA,"",194900,6159,"Grand Haven","MI","49417","2019-10-12",10,2019
6721105,"power","power-pwc","Sea-Doo","SPARK® 3-up Rotax 900 HO ACE iBR® & CONV",2018,"new",10,3.83,421,"fiberglass","gasoline",1,90,NA,NA,"outboard",6599,35079,"Grand Island","NY","14072","2018-05-23",5,2018
7269490,"power","power-bay","Sportsman","Masters 247 Bay Boat",2020,"new",24,NA,NA,"other","other",1,0,NA,NA,"",77950,34553,"Fort Walton Beach","FL",NA,"2019-10-31",10,2019
6848709,"power","power-aluminum","Tracker","Targa V-18 Combo",2019,"new",18.17,8.5,2092,"aluminum","",1,175,NA,NA,"outboard",37445,155640,"Richfield","WI","53076","2018-09-19",9,2018
7164730,"power","power-fresh","Caravelle boat group","236WI",2018,"new",23,NA,NA,"other","other",1,0,NA,NA,"",39999,164670,"Ridgeland","SC",NA,"2019-07-30",7,2019
7178499,"power","power-bass","Ranger","RT188C",2020,"new",18,NA,NA,"other","other",1,0,NA,NA,"",25390,12868,"Warsaw","MO",NA,"2019-08-09",8,2019
7009743,"power","power-deck","Hurricane","SunDeck SD 2690 OB",2019,"new",26,9,NA,"fiberglass","other",1,0,NA,NA,"",89999,162703,"Islamorada","FL",NA,"2019-03-07",3,2019
7008547,"power","power-deck","Tahoe","2150",2019,"new",21.08,8.5,3235,"fiberglass","gasoline",1,225,NA,NA,"outboard",48035,155528,"Noblesville","IN","46060","2019-03-07",3,2019
6598394,"power","power-jon","Tracker","Grizzly 1860 CC Sportsman",2018,"new",19.5,7,1440,"aluminum","",1,60,NA,NA,"outboard",21290,36334,"Harlingen","TX","78550","2018-01-31",1,2018
7197502,"power","power-bowrider","Sea Ray","230 Bow Rider",2000,"used",23,NA,NA,"fiberglass","other",1,0,NA,NA,"",18500,5266,"Madison","WI","53704","2019-08-28",8,2019
6171211,"unpowered","unpowered-kayak","Ascend","H12 Sit-In (Olive)",2017,"new",12,2.67,76,"other","",1,0,NA,NA,"",699,39423,"Millsboro","DE","19966","2017-03-14",3,2017
6881986,"power","power-pontoon","Starcraft","CX FD4",2019,"new",23,102,NA,"aluminum","gasoline",0,NA,NA,NA,"",43500,55696,"La Follette","TN","37766","2018-10-19",10,2018
6291116,"power","power-pontoon","Starcraft","MX 23 C",2017,"new",24.83,8.5,2425,"aluminum","gasoline",1,0,NA,NA,"outboard",37900,34634,"Middletown","PA","17057","2017-07-06",7,2017
6967727,"power","power-aluminum","Tracker","Super Guide V-16 SC",2019,"new",16,6.33,875,"aluminum","",1,40,NA,NA,"outboard",16495,1211,"Kodak","TN","37764","2019-01-24",1,2019
7185536,"power","power-deck","Sea Ray","310SLX",2020,"new",31,NA,NA,"other","other",1,0,NA,NA,"",325281,5004,"N Tonawanda","NY",NA,"2019-08-16",8,2019
7243167,"power","power-bass","Tracker","Pro Team 175 TXW",2011,"used",17.58,7.42,993,"aluminum","other",1,0,NA,NA,"",9500,40300,"Eastland","TX",NA,"2019-10-07",10,2019
